StudentID,Skills,Interests,Availability,PreferredProjectType,SuggestedProject
S0337,"NodeJS, Flask, React, TensorFlow",Finance,Full-time,Research,AI-powered Diet Planner
S0338,"TensorFlow, JavaScript, C++, Figma",Cybersecurity,Full-time,Research,Mental Health UI Toolkit
S0339,"Django, JavaScript, React, ML",Automation,Full-time,Creative,Smart Attendance System
S0340,"Flask, Figma, Java, AI",Healthcare,Part-time,Research,Mental Health UI Toolkit
S0341,"TensorFlow, Figma",Finance,Full-time,Creative,Automated Resume Screener
S0342,"React, AI",Education,Full-time,Creative,E-learning Gamification Platform
S0343,"JavaScript, ML, C++",Cybersecurity,Part-time,Creative,Smart Attendance System
S0344,"Keras, Python",Cybersecurity,Full-time,Research,AI-powered Diet Planner
S0345,"JavaScript, AI",Social Impact,Full-time,Technical,Finance Tracker Web App
S0346,"C++, JavaScript, Figma, NodeJS",Finance,Full-time,Technical,Blockchain Voting System
S0347,"JavaScript, NodeJS",Finance,Part-time,Technical,Finance Tracker Web App
S0348,"React, Django, JavaScript",Climate,Part-time,Creative,Mental Health UI Toolkit
S0349,"Python, Flask",Automation,Part-time,Creative,AI-powered Diet Planner
S0350,"C++, Figma, NodeJS, Python",Climate,Part-time,Research,Smart Attendance System
S0351,"Python, React",Healthcare,Part-time,Creative,Finance Tracker Web App
S0352,"JavaScript, Django, ML, C++",Cybersecurity,Part-time,Research,Chatbot for Students
S0353,"Figma, Flask",Cybersecurity,Part-time,Creative,E-learning Gamification Platform
S0354,"AI, Figma, JavaScript",Education,Full-time,Research,Blockchain Voting System
S0355,"Java, JavaScript",Education,Part-time,Creative,Chatbot for Students
S0356,"ML, JavaScript",Social Impact,Full-time,Technical,Automated Resume Screener
S0357,"Flask, Java, NodeJS, Python",Education,Part-time,Research,Voice-based Email Client
S0358,"NodeJS, Keras, ML, AI",Education,Full-time,Research,Automated Resume Screener
S0359,"AI, Java",Automation,Full-time,Creative,AI-powered Diet Planner
S0360,"C++, ML",Social Impact,Full-time,Technical,Chatbot for Students
S0361,"TensorFlow, Python, Keras",Healthcare,Part-time,Creative,Smart Attendance System
S0362,"Python, Django, Figma, Flask",Automation,Full-time,Technical,Smart Attendance System
S0363,"AI, Django",Cybersecurity,Full-time,Research,Smart Attendance System
S0364,"C++, AI, Python",Automation,Part-time,Creative,Mental Health UI Toolkit
S0365,"Keras, Flask",Finance,Part-time,Technical,Smart Attendance System
S0366,"React, JavaScript",Automation,Full-time,Technical,Voice-based Email Client
S0367,"Figma, Django, React, NodeJS",Cybersecurity,Full-time,Research,Smart Attendance System
S0368,"AI, Figma, ML, Keras",Automation,Full-time,Research,Voice-based Email Client
S0369,"TensorFlow, JavaScript",Education,Part-time,Technical,E-learning Gamification Platform
S0370,"NodeJS, ML, TensorFlow",Finance,Part-time,Research,Automated Resume Screener
S0371,"Django, Flask, React, Java",Automation,Part-time,Research,Blockchain Voting System
S0372,"Python, TensorFlow, Flask, Figma",Healthcare,Part-time,Creative,Blockchain Voting System
S0373,"TensorFlow, Flask, NodeJS",Healthcare,Full-time,Technical,E-learning Gamification Platform
S0374,"C++, Keras, NodeJS, AI",Healthcare,Full-time,Technical,Automated Resume Screener
S0375,"AI, Flask, JavaScript, Python",Cybersecurity,Part-time,Technical,E-learning Gamification Platform
S0376,"AI, Java, Keras, Flask",Social Impact,Part-time,Research,E-learning Gamification Platform
S0377,"ML, TensorFlow, Django, AI",Finance,Full-time,Technical,Voice-based Email Client
S0378,"Keras, Figma, Django, Flask",Social Impact,Full-time,Creative,Smart Attendance System
S0379,"C++, Django",Climate,Part-time,Technical,E-learning Gamification Platform
S0380,"Python, Keras, Java, React",Education,Part-time,Technical,Blockchain Voting System
S0381,"Python, C++",Climate,Part-time,Research,Blockchain Voting System
S0382,"Keras, Figma, Python",Finance,Part-time,Creative,Smart Attendance System
S0383,"Flask, AI",Climate,Full-time,Creative,Smart Attendance System
S0384,"Python, JavaScript",Finance,Part-time,Creative,Blockchain Voting System
S0385,"TensorFlow, Figma, C++",Social Impact,Full-time,Technical,Chatbot for Students
S0386,"JavaScript, Python",Social Impact,Part-time,Technical,Smart Attendance System
S0387,"AI, JavaScript, C++, Django",Education,Part-time,Creative,AI-powered Diet Planner
S0388,"Django, ML",Finance,Full-time,Creative,Blockchain Voting System
S0389,"Keras, TensorFlow, C++, Django",Automation,Part-time,Research,Voice-based Email Client
S0390,"Flask, NodeJS",Social Impact,Part-time,Research,Chatbot for Students
S0391,"Java, NodeJS, Django, React",Automation,Part-time,Technical,AI-powered Diet Planner
S0392,"Keras, Python, Flask",Climate,Part-time,Creative,Finance Tracker Web App
S0393,"Python, React, TensorFlow, NodeJS",Cybersecurity,Part-time,Creative,Voice-based Email Client
S0394,"Keras, Flask, Figma",Automation,Full-time,Research,E-learning Gamification Platform
S0395,"AI, Java",Education,Part-time,Research,Voice-based Email Client
S0396,"ML, React",Climate,Full-time,Technical,Mental Health UI Toolkit
S0397,"Figma, Python, React, Flask",Climate,Full-time,Technical,Mental Health UI Toolkit
S0398,"React, TensorFlow",Automation,Part-time,Creative,AI-powered Diet Planner
S0399,"Figma, Django, AI",Social Impact,Full-time,Creative,Chatbot for Students
S0400,"Django, React, ML",Finance,Part-time,Technical,Blockchain Voting System
S0401,"NodeJS, Java",Climate,Full-time,Creative,E-learning Gamification Platform
S0402,"Figma, AI, C++",Climate,Full-time,Creative,Mental Health UI Toolkit
S0403,"C++, JavaScript",Social Impact,Part-time,Research,Chatbot for Students
S0404,"Figma, C++, JavaScript",Cybersecurity,Part-time,Research,Mental Health UI Toolkit
S0405,"C++, Django, React",Finance,Full-time,Research,Chatbot for Students
S0406,"Flask, Python, ML, TensorFlow",Cybersecurity,Full-time,Research,Finance Tracker Web App
S0407,"Java, NodeJS",Automation,Part-time,Research,E-learning Gamification Platform
S0408,"C++, Java, TensorFlow",Automation,Part-time,Technical,Voice-based Email Client
S0409,"C++, TensorFlow, ML",Cybersecurity,Full-time,Research,AI-powered Diet Planner
S0410,"JavaScript, Figma, React, AI",Automation,Full-time,Creative,Smart Attendance System
S0411,"Keras, NodeJS, React, C++",Social Impact,Part-time,Research,Finance Tracker Web App
S0412,"JavaScript, Java",Education,Full-time,Creative,Voice-based Email Client
S0413,"Flask, ML, React, NodeJS",Healthcare,Full-time,Technical,Finance Tracker Web App
S0414,"Figma, Python, C++",Healthcare,Full-time,Research,Chatbot for Students
S0415,"Keras, JavaScript, ML, Python",Automation,Part-time,Creative,Blockchain Voting System
S0416,"Keras, C++, TensorFlow, Django",Healthcare,Part-time,Creative,E-learning Gamification Platform
S0417,"Java, Django, NodeJS",Cybersecurity,Part-time,Technical,Blockchain Voting System
S0418,"JavaScript, Keras, React, Django",Automation,Full-time,Creative,Finance Tracker Web App
S0419,"Figma, Keras",Healthcare,Full-time,Research,Mental Health UI Toolkit
S0420,"AI, ML, JavaScript, Java",Climate,Full-time,Technical,Voice-based Email Client
S0421,"React, JavaScript, AI",Climate,Full-time,Technical,Mental Health UI Toolkit
S0422,"React, C++",Cybersecurity,Part-time,Creative,Smart Attendance System
S0423,"TensorFlow, Python, React, JavaScript",Education,Full-time,Technical,Automated Resume Screener
S0424,"JavaScript, Java, ML",Cybersecurity,Full-time,Creative,Mental Health UI Toolkit
S0425,"JavaScript, Python",Climate,Part-time,Technical,Blockchain Voting System
S0426,"JavaScript, ML, AI",Climate,Full-time,Research,Chatbot for Students
S0427,"Flask, NodeJS, JavaScript, TensorFlow",Education,Part-time,Technical,AI-powered Diet Planner
S0428,"Keras, AI, Figma, JavaScript",Automation,Full-time,Technical,Smart Attendance System
S0429,"ML, Keras",Finance,Part-time,Creative,E-learning Gamification Platform
S0430,"ML, Python, NodeJS, Java",Education,Full-time,Creative,Blockchain Voting System
S0431,"NodeJS, Django, C++, Java",Climate,Part-time,Technical,Automated Resume Screener
S0432,"Django, Flask, JavaScript",Healthcare,Full-time,Research,Smart Attendance System
S0433,"Flask, AI, Django, Keras",Healthcare,Part-time,Research,Voice-based Email Client
S0434,"NodeJS, JavaScript, Figma, ML",Social Impact,Part-time,Research,Smart Attendance System
S0435,"NodeJS, TensorFlow, Python",Social Impact,Full-time,Technical,Automated Resume Screener
S0436,"JavaScript, Java",Social Impact,Part-time,Technical,Voice-based Email Client
S0437,"NodeJS, Flask, Python",Finance,Part-time,Technical,AI-powered Diet Planner
S0438,"ML, Java",Education,Part-time,Technical,Blockchain Voting System
S0439,"Django, Python",Finance,Full-time,Technical,E-learning Gamification Platform
S0440,"Figma, Flask",Climate,Full-time,Research,E-learning Gamification Platform
S0441,"Django, Java",Education,Full-time,Technical,E-learning Gamification Platform
S0442,"C++, Figma, Python",Cybersecurity,Full-time,Technical,Finance Tracker Web App
S0443,"NodeJS, ML, JavaScript, Python",Education,Full-time,Technical,Voice-based Email Client
S0444,"Flask, Java, Python, JavaScript",Finance,Part-time,Technical,Voice-based Email Client
S0445,"Flask, JavaScript, AI",Education,Part-time,Technical,Voice-based Email Client
S0446,"Java, NodeJS",Climate,Full-time,Technical,Mental Health UI Toolkit
S0447,"C++, ML, Keras",Automation,Part-time,Research,Smart Attendance System
S0448,"Figma, NodeJS",Finance,Part-time,Research,Mental Health UI Toolkit
S0449,"ML, Django, NodeJS, React",Education,Part-time,Technical,Voice-based Email Client
S0450,"Keras, React, Flask",Cybersecurity,Part-time,Creative,Finance Tracker Web App
S0451,"TensorFlow, Keras, AI, Figma",Cybersecurity,Full-time,Creative,Finance Tracker Web App
S0452,"Keras, Figma",Healthcare,Part-time,Technical,Voice-based Email Client
S0453,"Django, Python, NodeJS",Climate,Full-time,Technical,Voice-based Email Client
S0454,"React, JavaScript",Social Impact,Full-time,Creative,AI-powered Diet Planner
S0455,"React, Keras",Education,Part-time,Research,Smart Attendance System
S0456,"AI, TensorFlow",Social Impact,Part-time,Creative,Mental Health UI Toolkit
S0457,"Figma, Python, NodeJS",Automation,Full-time,Creative,Chatbot for Students
S0458,"TensorFlow, Django, NodeJS",Social Impact,Full-time,Research,Chatbot for Students
S0459,"NodeJS, Python, ML",Automation,Part-time,Creative,AI-powered Diet Planner
S0460,"C++, AI, React, NodeJS",Finance,Part-time,Creative,Mental Health UI Toolkit
S0461,"Java, ML, Flask",Education,Full-time,Research,Automated Resume Screener
S0462,"NodeJS, React",Automation,Part-time,Research,Smart Attendance System
S0463,"ML, AI",Social Impact,Full-time,Creative,Finance Tracker Web App
S0464,"TensorFlow, JavaScript, C++, Figma",Education,Full-time,Research,Mental Health UI Toolkit
S0465,"TensorFlow, Django",Social Impact,Part-time,Research,Voice-based Email Client
S0466,"Python, NodeJS, AI",Healthcare,Part-time,Technical,E-learning Gamification Platform
S0467,"TensorFlow, React, Keras",Finance,Part-time,Technical,Voice-based Email Client
S0468,"TensorFlow, AI",Climate,Part-time,Research,Chatbot for Students
S0469,"ML, Django, Java",Climate,Part-time,Technical,Chatbot for Students
S0470,"React, JavaScript, Figma",Finance,Full-time,Technical,AI-powered Diet Planner
S0471,"ML, C++, Django",Finance,Part-time,Technical,Blockchain Voting System
S0472,"NodeJS, Flask",Social Impact,Full-time,Research,Blockchain Voting System
S0473,"Django, Java, AI",Cybersecurity,Part-time,Creative,Blockchain Voting System
S0474,"ML, TensorFlow, Figma, Python",Education,Part-time,Creative,Finance Tracker Web App
S0475,"Django, Java",Automation,Part-time,Creative,Smart Attendance System
S0476,"Figma, Python, C++, ML",Finance,Full-time,Creative,Chatbot for Students
S0477,"Java, Python",Healthcare,Full-time,Creative,Blockchain Voting System
S0478,"Django, TensorFlow, JavaScript, React",Climate,Full-time,Research,Mental Health UI Toolkit
S0479,"TensorFlow, Django",Education,Full-time,Research,Finance Tracker Web App
S0480,"C++, NodeJS, Django, Python",Cybersecurity,Full-time,Technical,Chatbot for Students
S0481,"Python, Django, Figma, JavaScript",Education,Part-time,Technical,Mental Health UI Toolkit
S0482,"React, C++, ML, Figma",Social Impact,Full-time,Creative,E-learning Gamification Platform
S0483,"NodeJS, Figma, Python",Automation,Full-time,Research,Blockchain Voting System
S0484,"React, NodeJS, Keras",Healthcare,Part-time,Research,Chatbot for Students
S0485,"JavaScript, Figma",Automation,Part-time,Research,AI-powered Diet Planner
S0486,"Flask, Java, TensorFlow, NodeJS",Education,Part-time,Creative,E-learning Gamification Platform
S0487,"Java, AI, Django",Healthcare,Part-time,Technical,Smart Attendance System
S0488,"TensorFlow, JavaScript, NodeJS, ML",Education,Part-time,Creative,Blockchain Voting System
S0489,"AI, Flask, Django",Automation,Part-time,Technical,AI-powered Diet Planner
S0490,"AI, Java, Figma",Automation,Full-time,Creative,AI-powered Diet Planner
S0491,"Flask, Keras",Climate,Part-time,Creative,Voice-based Email Client
S0492,"Java, Figma",Healthcare,Full-time,Creative,Mental Health UI Toolkit
S0493,"Keras, AI, Java",Cybersecurity,Part-time,Creative,Chatbot for Students
S0494,"AI, Flask, NodeJS",Social Impact,Part-time,Research,Mental Health UI Toolkit
S0495,"NodeJS, TensorFlow",Healthcare,Full-time,Technical,Smart Attendance System
S0496,"Flask, NodeJS, Keras, JavaScript",Cybersecurity,Part-time,Technical,Finance Tracker Web App
S0497,"TensorFlow, Django, JavaScript",Automation,Full-time,Technical,Finance Tracker Web App
S0498,"React, ML",Education,Part-time,Technical,AI-powered Diet Planner
S0499,"ML, TensorFlow, Django",Cybersecurity,Full-time,Research,E-learning Gamification Platform
S0500,"Django, Python, JavaScript, React",Automation,Full-time,Creative,Automated Resume Screener
S0501,"NodeJS, Python, Java, C++",Healthcare,Full-time,Technical,Voice-based Email Client
S0502,"C++, Python, AI",Cybersecurity,Full-time,Research,Automated Resume Screener
S0503,"TensorFlow, ML",Healthcare,Part-time,Creative,Automated Resume Screener
S0504,"Keras, Django, AI",Healthcare,Part-time,Research,Automated Resume Screener
S0505,"Keras, Figma, C++, NodeJS",Automation,Full-time,Creative,Voice-based Email Client
S0506,"AI, ML",Social Impact,Full-time,Technical,Blockchain Voting System
S0507,"TensorFlow, Python, ML",Social Impact,Full-time,Creative,Blockchain Voting System
S0508,"C++, Figma, TensorFlow, Django",Education,Part-time,Technical,AI-powered Diet Planner
S0509,"Django, TensorFlow, C++",Healthcare,Full-time,Creative,Automated Resume Screener
S0510,"Django, AI",Education,Part-time,Technical,Chatbot for Students
S0511,"Python, React, Figma",Cybersecurity,Full-time,Technical,E-learning Gamification Platform
S0512,"Django, ML, Figma, Python",Education,Full-time,Technical,AI-powered Diet Planner
S0513,"C++, NodeJS",Finance,Part-time,Technical,Finance Tracker Web App
S0514,"TensorFlow, AI",Social Impact,Full-time,Creative,Blockchain Voting System
S0515,"AI, Flask, JavaScript, Figma",Healthcare,Full-time,Research,Mental Health UI Toolkit
S0516,"Keras, AI, TensorFlow",Social Impact,Full-time,Research,Voice-based Email Client
S0517,"C++, ML",Finance,Full-time,Technical,Automated Resume Screener
S0518,"React, TensorFlow",Climate,Full-time,Technical,Chatbot for Students
S0519,"AI, Keras, TensorFlow",Social Impact,Full-time,Technical,AI-powered Diet Planner
S0520,"C++, NodeJS, JavaScript, React",Social Impact,Full-time,Creative,Finance Tracker Web App
S0521,"C++, TensorFlow, Python, Figma",Automation,Full-time,Research,Mental Health UI Toolkit
S0522,"JavaScript, Python, Flask, AI",Healthcare,Part-time,Technical,AI-powered Diet Planner
S0523,"NodeJS, Flask",Social Impact,Full-time,Creative,Mental Health UI Toolkit
S0524,"Django, TensorFlow",Finance,Part-time,Technical,Smart Attendance System
S0525,"Figma, AI",Automation,Full-time,Technical,E-learning Gamification Platform
S0526,"Django, JavaScript, Python, React",Finance,Part-time,Technical,Chatbot for Students
S0527,"C++, AI",Finance,Full-time,Research,Voice-based Email Client
S0528,"Figma, C++, AI",Social Impact,Full-time,Creative,E-learning Gamification Platform
S0529,"Django, TensorFlow",Automation,Full-time,Research,Finance Tracker Web App
S0530,"Java, AI",Healthcare,Part-time,Creative,Finance Tracker Web App
S0531,"ML, Django, Figma",Education,Part-time,Creative,Mental Health UI Toolkit
S0532,"NodeJS, React, C++, ML",Climate,Full-time,Technical,Chatbot for Students
S0533,"Figma, Keras",Social Impact,Part-time,Creative,Blockchain Voting System
S0534,"AI, TensorFlow, NodeJS",Automation,Part-time,Creative,Voice-based Email Client
S0535,"Java, TensorFlow, Figma, NodeJS",Education,Part-time,Creative,Mental Health UI Toolkit
S0536,"Python, Flask, Keras, NodeJS",Finance,Full-time,Technical,Finance Tracker Web App
S0537,"Figma, Django, JavaScript, Keras",Healthcare,Full-time,Creative,Blockchain Voting System
S0538,"C++, AI",Automation,Part-time,Technical,Finance Tracker Web App
S0539,"Keras, Django, Flask",Automation,Part-time,Technical,Smart Attendance System
S0540,"React, TensorFlow, Flask",Cybersecurity,Part-time,Technical,Smart Attendance System
S0541,"JavaScript, Django",Social Impact,Part-time,Creative,AI-powered Diet Planner
S0542,"C++, ML, TensorFlow",Education,Part-time,Technical,E-learning Gamification Platform
S0543,"C++, ML",Cybersecurity,Full-time,Research,Smart Attendance System
S0544,"Django, C++, JavaScript",Cybersecurity,Part-time,Technical,Automated Resume Screener
S0545,"JavaScript, Django",Cybersecurity,Full-time,Technical,Smart Attendance System
S0546,"Flask, Python",Healthcare,Part-time,Research,Finance Tracker Web App
S0547,"Django, Python, React, Flask",Social Impact,Full-time,Creative,Voice-based Email Client
S0548,"Figma, Python, Flask, React",Education,Full-time,Technical,Automated Resume Screener
S0549,"Django, TensorFlow, Figma, C++",Healthcare,Full-time,Technical,AI-powered Diet Planner
S0550,"TensorFlow, NodeJS",Climate,Full-time,Creative,Blockchain Voting System
S0551,"Keras, Flask, AI, ML",Finance,Full-time,Technical,Voice-based Email Client
S0552,"Keras, Java",Climate,Part-time,Research,Voice-based Email Client
S0553,"Keras, Java, NodeJS",Cybersecurity,Full-time,Creative,E-learning Gamification Platform
S0554,"TensorFlow, Django, JavaScript",Climate,Part-time,Technical,Automated Resume Screener
S0555,"Django, TensorFlow, NodeJS",Climate,Part-time,Technical,Finance Tracker Web App
S0556,"C++, Java, AI, Python",Finance,Full-time,Research,Chatbot for Students
S0557,"C++, NodeJS, JavaScript",Automation,Full-time,Technical,Automated Resume Screener
S0558,"Flask, Django",Automation,Full-time,Technical,Automated Resume Screener
S0559,"Django, Flask, TensorFlow, Java",Climate,Part-time,Creative,AI-powered Diet Planner
S0560,"React, Figma, Flask",Climate,Part-time,Technical,Voice-based Email Client
S0561,"Java, ML, Keras, React",Cybersecurity,Part-time,Research,Voice-based Email Client
S0562,"Figma, ML, Django",Education,Full-time,Creative,Finance Tracker Web App
S0563,"AI, Java, TensorFlow",Education,Part-time,Research,Chatbot for Students
S0564,"ML, NodeJS",Social Impact,Part-time,Technical,Voice-based Email Client
S0565,"JavaScript, Python",Education,Part-time,Creative,Voice-based Email Client
S0566,"Django, Python",Finance,Full-time,Technical,Blockchain Voting System
S0567,"Figma, React, TensorFlow",Finance,Full-time,Creative,E-learning Gamification Platform
S0568,"ML, Keras",Healthcare,Part-time,Creative,Smart Attendance System
S0569,"Keras, Django, Figma",Finance,Part-time,Creative,Automated Resume Screener
S0570,"TensorFlow, Keras, Python",Healthcare,Part-time,Technical,Automated Resume Screener
S0571,"Keras, React, AI",Cybersecurity,Part-time,Research,Automated Resume Screener
S0572,"AI, ML, React, Python",Climate,Part-time,Technical,Blockchain Voting System
S0573,"C++, JavaScript, Figma, Keras",Finance,Full-time,Research,Smart Attendance System
S0574,"C++, NodeJS, Keras",Automation,Part-time,Research,Automated Resume Screener
S0575,"Java, Flask, C++",Automation,Part-time,Research,Finance Tracker Web App
S0576,"Figma, Java, C++",Education,Full-time,Technical,Finance Tracker Web App
S0577,"Python, Java, NodeJS, Keras",Finance,Part-time,Creative,Mental Health UI Toolkit
S0578,"Figma, JavaScript",Social Impact,Part-time,Technical,Automated Resume Screener
S0579,"C++, Python, Java",Finance,Part-time,Technical,Blockchain Voting System
S0580,"AI, NodeJS",Cybersecurity,Part-time,Creative,Mental Health UI Toolkit
S0581,"Flask, Keras",Automation,Full-time,Research,Blockchain Voting System
S0582,"C++, Django",Finance,Part-time,Research,Finance Tracker Web App
S0583,"Java, JavaScript",Social Impact,Part-time,Technical,Smart Attendance System
S0584,"NodeJS, TensorFlow, JavaScript, ML",Automation,Full-time,Creative,E-learning Gamification Platform
S0585,"JavaScript, Python, ML, Java",Education,Full-time,Research,E-learning Gamification Platform
S0586,"Keras, Figma, JavaScript",Social Impact,Part-time,Creative,Automated Resume Screener
S0587,"NodeJS, Django, JavaScript",Cybersecurity,Full-time,Technical,Voice-based Email Client
S0588,"Keras, Figma, Java, TensorFlow",Automation,Part-time,Creative,E-learning Gamification Platform
S0589,"Java, NodeJS, Figma",Healthcare,Part-time,Technical,Finance Tracker Web App
S0590,"C++, React, NodeJS",Finance,Full-time,Research,Chatbot for Students
S0591,"React, C++, Figma",Climate,Full-time,Technical,Finance Tracker Web App
S0592,"AI, React, Figma, Django",Finance,Part-time,Creative,Smart Attendance System
S0593,"NodeJS, Keras, Figma, Python",Climate,Full-time,Technical,Chatbot for Students
S0594,"Figma, AI",Education,Part-time,Creative,Finance Tracker Web App
S0595,"Figma, NodeJS",Climate,Full-time,Research,Smart Attendance System
S0596,"JavaScript, Flask, NodeJS, Python",Automation,Part-time,Research,AI-powered Diet Planner
S0597,"Java, Django, Figma",Cybersecurity,Full-time,Research,Finance Tracker Web App
S0598,"React, Keras",Education,Full-time,Research,Blockchain Voting System
S0599,"AI, Keras, Flask, ML",Social Impact,Full-time,Research,Finance Tracker Web App
S0600,"Flask, Java",Social Impact,Full-time,Technical,Finance Tracker Web App
S0601,"AI, Django, Java",Finance,Part-time,Research,Voice-based Email Client
S0602,"JavaScript, NodeJS, Python",Cybersecurity,Full-time,Technical,Chatbot for Students
S0603,"Flask, React, NodeJS, Keras",Finance,Part-time,Research,Smart Attendance System
S0604,"Figma, Python",Climate,Full-time,Creative,Voice-based Email Client
S0605,"AI, Flask, React, NodeJS",Cybersecurity,Full-time,Research,Mental Health UI Toolkit
S0606,"TensorFlow, Java, C++, NodeJS",Education,Part-time,Technical,Chatbot for Students
S0607,"Django, ML",Climate,Full-time,Creative,Finance Tracker Web App
S0608,"Keras, Flask",Cybersecurity,Full-time,Creative,Automated Resume Screener
S0609,"TensorFlow, ML",Automation,Part-time,Research,Smart Attendance System
S0610,"ML, Java",Climate,Part-time,Technical,Mental Health UI Toolkit
S0611,"React, Python, C++, AI",Cybersecurity,Full-time,Technical,E-learning Gamification Platform
S0612,"Django, Keras, JavaScript, ML",Social Impact,Full-time,Technical,Chatbot for Students
S0613,"NodeJS, TensorFlow",Climate,Part-time,Technical,AI-powered Diet Planner
S0614,"NodeJS, Figma, Java",Climate,Part-time,Creative,Voice-based Email Client
S0615,"Django, TensorFlow, C++",Education,Full-time,Technical,Smart Attendance System
S0616,"Keras, C++, ML, NodeJS",Cybersecurity,Part-time,Research,Chatbot for Students
S0617,"Python, NodeJS, Django",Climate,Full-time,Creative,Chatbot for Students
S0618,"Django, React, TensorFlow, NodeJS",Social Impact,Part-time,Technical,Voice-based Email Client
S0619,"ML, React",Healthcare,Part-time,Technical,Chatbot for Students
S0620,"JavaScript, TensorFlow, React",Social Impact,Part-time,Creative,Blockchain Voting System
S0621,"C++, Flask",Education,Part-time,Technical,Finance Tracker Web App
S0622,"AI, Figma, Flask",Social Impact,Part-time,Creative,E-learning Gamification Platform
S0623,"Figma, React, ML, JavaScript",Social Impact,Full-time,Technical,Smart Attendance System
S0624,"Keras, JavaScript, ML",Healthcare,Full-time,Research,Voice-based Email Client
S0625,"Django, Flask, JavaScript",Education,Full-time,Research,Automated Resume Screener
S0626,"ML, Flask",Finance,Full-time,Creative,Chatbot for Students
S0627,"Flask, JavaScript, C++, Figma",Finance,Part-time,Technical,Chatbot for Students
S0628,"NodeJS, Django, TensorFlow",Automation,Part-time,Technical,Automated Resume Screener
S0629,"Java, Flask, JavaScript, React",Climate,Part-time,Technical,Automated Resume Screener
S0630,"React, Django, Java, ML",Social Impact,Part-time,Creative,Automated Resume Screener
S0631,"Figma, Keras, Django",Healthcare,Full-time,Technical,Automated Resume Screener
S0632,"ML, AI",Education,Part-time,Technical,Automated Resume Screener
S0633,"Keras, Java",Automation,Part-time,Technical,Finance Tracker Web App
S0634,"React, Django, Java, AI",Education,Full-time,Creative,Smart Attendance System
S0635,"JavaScript, NodeJS, Keras, AI",Education,Full-time,Technical,Smart Attendance System
S0636,"Figma, JavaScript, TensorFlow, React",Social Impact,Full-time,Research,Automated Resume Screener
S0637,"Python, Flask, Django, JavaScript",Education,Part-time,Technical,Blockchain Voting System
S0638,"C++, Java, TensorFlow, Figma",Automation,Part-time,Technical,Mental Health UI Toolkit
S0639,"AI, Python, Keras, C++",Climate,Full-time,Research,Smart Attendance System
S0640,"Keras, Python, Java, Django",Automation,Full-time,Research,E-learning Gamification Platform
S0641,"C++, Figma, NodeJS",Automation,Full-time,Research,E-learning Gamification Platform
S0642,"Java, Python, Django, React",Education,Full-time,Creative,Smart Attendance System
S0643,"Python, Java, NodeJS, Django",Cybersecurity,Full-time,Research,Smart Attendance System
S0644,"Flask, ML",Finance,Part-time,Technical,Blockchain Voting System
S0645,"NodeJS, Figma, Keras, Python",Automation,Full-time,Research,Automated Resume Screener
S0646,"Keras, Java, TensorFlow",Social Impact,Part-time,Creative,Smart Attendance System
S0647,"JavaScript, Keras",Finance,Full-time,Creative,AI-powered Diet Planner
S0648,"Keras, JavaScript",Finance,Part-time,Creative,Voice-based Email Client
S0649,"AI, Flask, JavaScript, C++",Automation,Full-time,Research,Mental Health UI Toolkit
S0650,"Python, JavaScript, TensorFlow, ML",Social Impact,Part-time,Technical,Smart Attendance System
S0651,"Python, Flask",Cybersecurity,Full-time,Technical,Voice-based Email Client
S0652,"NodeJS, Python, React",Healthcare,Full-time,Research,Smart Attendance System
S0653,"JavaScript, Figma, React, ML",Automation,Part-time,Creative,Chatbot for Students
S0654,"Python, JavaScript, React",Automation,Part-time,Technical,Mental Health UI Toolkit
S0655,"Python, JavaScript",Finance,Full-time,Creative,E-learning Gamification Platform
S0656,"Java, TensorFlow, Python, Keras",Finance,Full-time,Research,Voice-based Email Client
S0657,"C++, Java, TensorFlow, Flask",Finance,Full-time,Technical,Finance Tracker Web App
S0658,"ML, C++, NodeJS",Social Impact,Part-time,Research,Smart Attendance System
S0659,"Java, Python",Climate,Full-time,Research,Finance Tracker Web App
S0660,"NodeJS, React",Finance,Full-time,Creative,Blockchain Voting System
S0661,"Django, C++, ML",Education,Full-time,Creative,Finance Tracker Web App
S0662,"JavaScript, Flask, React, Java",Climate,Part-time,Research,Blockchain Voting System
S0663,"AI, Java",Climate,Part-time,Creative,Chatbot for Students
S0664,"Figma, AI, ML",Social Impact,Full-time,Research,Automated Resume Screener
S0665,"Java, React, Django, NodeJS",Climate,Full-time,Research,Blockchain Voting System
S0666,"Django, JavaScript, Keras, TensorFlow",Social Impact,Full-time,Technical,Voice-based Email Client
S0667,"ML, Django, Flask",Climate,Full-time,Research,Automated Resume Screener
S0668,"TensorFlow, AI, C++",Climate,Full-time,Research,Voice-based Email Client
S0669,"Java, Flask, Keras, Python",Finance,Full-time,Research,Automated Resume Screener
S0670,"JavaScript, C++, React, NodeJS",Education,Full-time,Research,E-learning Gamification Platform
S0671,"TensorFlow, ML, Keras, Django",Cybersecurity,Full-time,Creative,Voice-based Email Client
S0672,"C++, Keras, AI",Cybersecurity,Part-time,Research,Mental Health UI Toolkit
S0673,"C++, NodeJS",Healthcare,Full-time,Technical,Blockchain Voting System
S0674,"Java, AI, TensorFlow",Automation,Part-time,Creative,Chatbot for Students
S0675,"Keras, React, AI",Healthcare,Part-time,Research,Finance Tracker Web App
S0676,"ML, C++",Healthcare,Part-time,Research,Blockchain Voting System
